investmentCapacity,has_questionnaire,total_transactions,buy_count,sell_count,buy_ratio,avg_transaction_value,log_avg_value,total_invested,total_sold,sell_to_buy_value_ratio,unique_stocks_traded,unique_sectors_traded,digital_ratio,investment_period_days,avg_days_between_transactions,customerType_Legal Entity,customerType_Mass,customerType_Premium,customerType_Professional,preferred_channel_Internet Banking,preferred_channel_Phone Banking,dominant_sector_Communication Services,dominant_sector_Consumer Cyclical,dominant_sector_Consumer Defensive,dominant_sector_Energy,dominant_sector_Financial Services,dominant_sector_Healthcare,dominant_sector_Industrials,dominant_sector_Real Estate,dominant_sector_Technology,dominant_sector_Unknown,dominant_sector_Utilities
0,1,6,3,3,0.5,968.5456666666665,6.876827576891241,2720.274,3091.0,1.1358650396836187,3,2,0.0,1422,284.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,7,5,2,0.7142857142857143,8514.642857142857,9.049660087269094,26887.5,32715.0,1.216691150491846,2,1,0.7142857142857143,1655,275.8333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,1,13,13,0,1.0,20208.923076923078,9.91392900420156,262716.0,0.0,0.0,2,2,1.0,216,18.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,2,1,1,0.5,17.54,2.919930560137709,16.200000000000003,18.88,1.097674418604651,1,1,0.0,1506,1506.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,4,2,2,0.5,3680.9302500000003,8.21119241810463,11963.573,2760.148,0.23069339791733479,1,1,1.0,1555,518.3333333333334,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2,1,1,0.5,268.3,5.595825999817554,324.0,212.6,0.6541538461538461,1,1,1.0,1140,1140.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,2,1,1,0.5,63.6,4.168214410788556,54.400000000000006,72.8,1.3140794223826713,1,1,0.0,1609,1609.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,18,14,4,0.7777777777777778,3187.516666666667,8.067311092859955,37205.3,20170.0,0.5421124917016741,3,3,1.0,87,5.117647058823529,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,14,6,8,0.42857142857142855,4363.820000000001,8.381332230310027,29992.8,31100.68,1.0369036267495282,4,3,1.0,361,27.76923076923077,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,11,5,6,0.45454545454545453,5764.493454545455,8.659646023930925,29575.000000000004,33834.428,1.1439825534216932,3,2,1.0,1364,136.4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,1,1,0.5,3.27,1.451613827240533,3.24,3.3,0.7783018867924527,1,1,0.0,1599,1599.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,4,2,2,0.5,5.617,1.8896420950299224,6.84,15.628,1.9933673469387756,2,2,1.0,1338,446.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,10,5,5,0.5,892.4959000000001,6.795141745892816,4151.904,4773.055,1.1493294812497472,5,3,0.0,1287,143.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,371,329,42,0.8867924528301887,577.3730274932615,6.36021903679258,152878.31220000001,61327.081,0.40114702321377915,54,10,0.9622641509433962,1771,4.786486486486487,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,5,1,0.8333333333333334,796.85,6.681920609856436,2982.1,1798.9999999999998,0.6030639267875699,4,3,1.0,1610,322.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,1,1,0.5,2130.8,7.664721972255037,2268.0,1993.6,0.8786249449096518,1,1,0.0,766,766.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
